act	scene	location	speaker	turn_number	turn_text
I	I	King Lear's Palace	Lear	26	"To thee and thine hereditary ever Remain this ample third of our fair kingdom, No less in space, validity, and pleasure Than that conferr'd on Goneril.- Now, our joy, Although the last, not least; to whose young love The vines of France and milk of Burgundy Strive to be interest; what can you say to draw A third more opulent than your sisters? Speak."
I	I	King Lear's Palace	Cordelia	27	"Nothing, my lord."
I	I	King Lear's Palace	Lear	28	Nothing?
I	I	King Lear's Palace	Cordelia	29	Nothing.
I	I	King Lear's Palace	Lear	30	Nothing can come of nothing. Speak again.
I	I	King Lear's Palace	Cordelia	31	"Unhappy that I am, I cannot heave My heart into my mouth. I love your Majesty According to my bond; no more nor less."
I	I	King Lear's Palace	Lear	32	"How, how, Cordelia? Mend your speech a little, Lest it may mar your fortunes."
I	I	King Lear's Palace	Cordelia	33	"Good my lord, You have begot me, bred me, lov'd me; I Return those duties back as are right fit, Obey you, love you, and most honour you. Why have my sisters husbands, if they say They love you all? Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty. Sure I shall never marry like my sisters, To love my father all."
I	I	King Lear's Palace	Lear	34	But goes thy heart with this?
I	I	King Lear's Palace	Cordelia	35	"Ay, good my lord."
I	I	King Lear's Palace	Lear	36	"So young, and so untender?"
I	I	King Lear's Palace	Cordelia	37	"So young, my lord, and true."
I	I	King Lear's Palace	Lear	38	"Let it be so! thy truth then be thy dower! For, by the sacred radiance of the sun, The mysteries of Hecate and the night; By all the operation of the orbs From whom we do exist and cease to be; Here I disclaim all my paternal care, Propinquity and property of blood, And as a stranger to my heart and me Hold thee from this for ever. The barbarous Scythian, Or he that makes his generation messes To gorge his appetite, shall to my bosom Be as well neighbour'd, pitied, and reliev'd, As thou my sometime daughter."
I	I	King Lear's Palace	Kent	39	Good my liege-
I	I	King Lear's Palace	Lear	40	"Peace, Kent! Come not between the dragon and his wrath. I lov'd her most, and thought to set my rest On her kind nursery.- Hence and avoid my sight!- So be my grave my peace as here I give Her father's heart from her! Call France! Who stirs? Call Burgundy! Cornwall and Albany, With my two daughters' dowers digest this third; Let pride, which she calls plainness, marry her. I do invest you jointly in my power, Preeminence, and all the large effects That troop with majesty. Ourself, by monthly course, With reservation of an hundred knights, By you to be sustain'd, shall our abode Make with you by due turns. Only we still retain The name, and all th' additions to a king. The sway, Revenue, execution of the rest, Beloved sons, be yours; which to confirm, This coronet part betwixt you."
I	I	King Lear's Palace	Kent	41	"Royal Lear, Whom I have ever honour'd as my king, Lov'd as my father, as my master follow'd, As my great patron thought on in my prayers-"
I	I	King Lear's Palace	Lear	42	The bow is bent and drawn; make from the shaft.
I	I	King Lear's Palace	Kent	43	"Let it fall rather, though the fork invade The region of my heart! Be Kent unmannerly When Lear is mad. What wouldst thou do, old man? Think'st thou that duty shall have dread to speak When power to flattery bows? To plainness honour's bound When majesty falls to folly. Reverse thy doom; And in thy best consideration check This hideous rashness. Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sound Reverbs no hollowness."
I	I	King Lear's Palace	Lear	44	"Kent, on thy life, no more!"
I	I	King Lear's Palace	Kent	45	"My life I never held but as a pawn To wage against thine enemies; nor fear to lose it, Thy safety being the motive."
I	I	King Lear's Palace	Lear	46	Out of my sight!
I	I	King Lear's Palace	Kent	47	"See better, Lear, and let me still remain The true blank of thine eye."
I	I	King Lear's Palace	Lear	48	Now by Apollo-
I	I	King Lear's Palace	Kent	49	"Now by Apollo, King, Thou swear'st thy gods in vain."
I	I	King Lear's Palace	Lear	50	O vassal! miscreant! [Lays his hand on his sword.]
I	I	King Lear's Palace	Albany	51	"Dear sir, forbear!"
I	I	King Lear's Palace	Cornwall	52	"Dear sir, forbear!"
I	I	King Lear's Palace	Kent	53	"Do! Kill thy physician, and the fee bestow Upon the foul disease. Revoke thy gift, Or, whilst I can vent clamour from my throat, I'll tell thee thou dost evil."
I	I	King Lear's Palace	Lear	54	"Hear me, recreant! On thine allegiance, hear me! Since thou hast sought to make us break our vow- Which we durst never yet- and with strain'd pride To come between our sentence and our power,- Which nor our nature nor our place can bear,- Our potency made good, take thy reward. Five days we do allot thee for provision To shield thee from diseases of the world, And on the sixth to turn thy hated back Upon our kingdom. If, on the tenth day following, Thy banish'd trunk be found in our dominions, The moment is thy death. Away! By Jupiter, This shall not be revok'd."
I	I	King Lear's Palace	Kent	55	"Fare thee well, King. Since thus thou wilt appear, Freedom lives hence, and banishment is here. [To Cordelia] The gods to their dear shelter take thee, maid, That justly think'st and hast most rightly said! [To Regan and Goneril] And your large speeches may your deeds approve, That good effects may spring from words of love. Thus Kent, O princes, bids you all adieu; He'll shape his old course in a country new."
I	I	King Lear's Palace	STAGE	56	Exit.
I	I	King Lear's Palace	STAGE	57	"Flourish. Enter Gloucester, with France and Burgundy; Attendants."
I	I	King Lear's Palace	Gloucester	58	"Here's France and Burgundy, my noble lord."
I	I	King Lear's Palace	Lear	59	"My Lord of Burgundy, We first address toward you, who with this king Hath rivall'd for our daughter. What in the least Will you require in present dower with her, Or cease your quest of love?"
I	I	King Lear's Palace	Burgundy	60	"Most royal Majesty, I crave no more than hath your Highness offer'd, Nor will you tender less."
I	I	King Lear's Palace	Lear	61	"Right noble Burgundy, When she was dear to us, we did hold her so; But now her price is fall'n. Sir, there she stands. If aught within that little seeming substance, Or all of it, with our displeasure piec'd, And nothing more, may fitly like your Grace, She's there, and she is yours."
I	I	King Lear's Palace	Burgundy	62	I know no answer.
I	I	King Lear's Palace	Lear	63	"Will you, with those infirmities she owes, Unfriended, new adopted to our hate, Dow'r'd with our curse, and stranger'd with our oath, Take her, or leave her?"
I	I	King Lear's Palace	Burgundy	64	"Pardon me, royal sir. Election makes not up on such conditions."
I	I	King Lear's Palace	Lear	65	"Then leave her, sir; for, by the pow'r that made me, I tell you all her wealth. [To France] For you, great King, I would not from your love make such a stray To match you where I hate; therefore beseech you T' avert your liking a more worthier way Than on a wretch whom nature is asham'd Almost t' acknowledge hers."
I	I	King Lear's Palace	France	66	"This is most strange, That she that even but now was your best object, The argument of your praise, balm of your age, Most best, most dearest, should in this trice of time Commit a thing so monstrous to dismantle So many folds of favour. Sure her offence Must be of such unnatural degree That monsters it, or your fore-vouch'd affection Fall'n into taint; which to believe of her Must be a faith that reason without miracle Should never plant in me."
I	I	King Lear's Palace	Cordelia	67	"I yet beseech your Majesty, If for I want that glib and oily art To speak and purpose not, since what I well intend, I'll do't before I speak- that you make known It is no vicious blot, murther, or foulness, No unchaste action or dishonoured step, That hath depriv'd me of your grace and favour; But even for want of that for which I am richer- A still-soliciting eye, and such a tongue As I am glad I have not, though not to have it Hath lost me in your liking."
I	I	King Lear's Palace	Lear	68	Better thou Hadst not been born than not t' have pleas'd me better.
I	I	King Lear's Palace	France	69	"Is it but this- a tardiness in nature Which often leaves the history unspoke That it intends to do? My Lord of Burgundy, What say you to the lady? Love's not love When it is mingled with regards that stands Aloof from th' entire point. Will you have her? She is herself a dowry."
I	I	King Lear's Palace	Burgundy	70	"Royal Lear, Give but that portion which yourself propos'd, And here I take Cordelia by the hand, Duchess of Burgundy."
I	I	King Lear's Palace	Lear	71	Nothing! I have sworn; I am firm.
I	I	King Lear's Palace	Burgundy	72	I am sorry then you have so lost a father That you must lose a husband.
I	I	King Lear's Palace	Cordelia	73	"Peace be with Burgundy! Since that respects of fortune are his love, I shall not be his wife."
I	I	King Lear's Palace	France	74	"Fairest Cordelia, that art most rich, being poor; Most choice, forsaken; and most lov'd, despis'd! Thee and thy virtues here I seize upon. Be it lawful I take up what's cast away. Gods, gods! 'tis strange that from their cold'st neglect My love should kindle to inflam'd respect. Thy dow'rless daughter, King, thrown to my chance, Is queen of us, of ours, and our fair France. Not all the dukes in wat'rish Burgundy Can buy this unpriz'd precious maid of me. Bid them farewell, Cordelia, though unkind. Thou losest here, a better where to find."
I	I	King Lear's Palace	Lear	75	"Thou hast her, France; let her be thine; for we Have no such daughter, nor shall ever see That face of hers again. Therefore be gone Without our grace, our love, our benison. Come, noble Burgundy."
I	I	King Lear's Palace	STAGE	76	"Flourish. Exeunt Lear, Burgundy, [Cornwall, Albany, Gloucester, and Attendants]."
I	I	King Lear's Palace	France	77	Bid farewell to your sisters.
I	I	King Lear's Palace	Cordelia	78	"The jewels of our father, with wash'd eyes Cordelia leaves you. I know you what you are; And, like a sister, am most loath to call Your faults as they are nam'd. Use well our father. To your professed bosoms I commit him; But yet, alas, stood I within his grace, I would prefer him to a better place! So farewell to you both."
I	I	King Lear's Palace	Goneril	79	Prescribe not us our duties.
I	I	King Lear's Palace	Regan	80	"Let your study Be to content your lord, who hath receiv'd you At fortune's alms. You have obedience scanted, And well are worth the want that you have wanted."
I	I	King Lear's Palace	Cordelia	81	"Time shall unfold what plighted cunning hides. Who cover faults, at last shame them derides. Well may you prosper!"
I	I	King Lear's Palace	France	82	"Come, my fair Cordelia."
I	I	King Lear's Palace	STAGE	83	Exeunt France and Cordelia.
I	I	King Lear's Palace	Goneril	84	"Sister, it is not little I have to say of what most nearly appertains to us both. I think our father will hence to-night."
I	I	King Lear's Palace	Regan	85	"That's most certain, and with you; next month with us."
I	I	King Lear's Palace	Goneril	86	"You see how full of changes his age is. The observation we have made of it hath not been little. He always lov'd our sister most, and with what poor judgment he hath now cast her off appears too grossly."
I	I	King Lear's Palace	Regan	87	'Tis the infirmity of his age; yet he hath ever but slenderly known himself.
I	I	King Lear's Palace	Goneril	88	"The best and soundest of his time hath been but rash; then must we look to receive from his age, not alone the imperfections of long-ingraffed condition, but therewithal the unruly waywardness that infirm and choleric years bring with them."
I	I	King Lear's Palace	Regan	89	Such unconstant starts are we like to have from him as this of Kent's banishment.
I	I	King Lear's Palace	Goneril	90	"There is further compliment of leave-taking between France and him. Pray you let's hit together. If our father carry authority with such dispositions as he bears, this last surrender of his will but offend us."
I	I	King Lear's Palace	Regan	91	We shall further think on't.
I	I	King Lear's Palace	Goneril	92	"We must do something, and i' th' heat."
I	I	King Lear's Palace	STAGE	93	Exeunt.
I	II	The Earl of Gloucester's Castle	STAGE	1	"Enter [Edmund the] Bastard solus, [with a letter]."
I	II	The Earl of Gloucester's Castle	Edmund	2	"Thou, Nature, art my goddess; to thy law My services are bound. Wherefore should I Stand in the plague of custom, and permit The curiosity of nations to deprive me, For that I am some twelve or fourteen moonshines Lag of a brother? Why bastard? wherefore base? When my dimensions are as well compact, My mind as generous, and my shape as true, As honest madam's issue? Why brand they us With base? with baseness? bastardy? base, base? Who, in the lusty stealth of nature, take More composition and fierce quality Than doth, within a dull, stale, tired bed, Go to th' creating a whole tribe of fops Got 'tween asleep and wake? Well then, Legitimate Edgar, I must have your land. Our father's love is to the bastard Edmund As to th' legitimate. Fine word- 'legitimate'! Well, my legitimate, if this letter speed, And my invention thrive, Edmund the base Shall top th' legitimate. I grow; I prosper. Now, gods, stand up for bastards!"
I	II	The Earl of Gloucester's Castle	STAGE	3	Enter Gloucester.
I	II	The Earl of Gloucester's Castle	Gloucester	4	"Kent banish'd thus? and France in choler parted? And the King gone to-night? subscrib'd his pow'r? Confin'd to exhibition? All this done Upon the gad? Edmund, how now? What news?"
I	II	The Earl of Gloucester's Castle	Edmund	5	"So please your lordship, none. [Puts up the letter.]"
I	II	The Earl of Gloucester's Castle	Gloucester	6	Why so earnestly seek you to put up that letter?
I	II	The Earl of Gloucester's Castle	Edmund	7	"I know no news, my lord."
I	II	The Earl of Gloucester's Castle	Gloucester	8	What paper were you reading?
I	II	The Earl of Gloucester's Castle	Edmund	9	"Nothing, my lord."
I	II	The Earl of Gloucester's Castle	Gloucester	10	"No? What needed then that terrible dispatch of it into your pocket? The quality of nothing hath not such need to hide itself. Let's see. Come, if it be nothing, I shall not need spectacles."
I	II	The Earl of Gloucester's Castle	Edmund	11	"I beseech you, sir, pardon me. It is a letter from my brother that I have not all o'er-read; and for so much as I have perus'd, I find it not fit for your o'erlooking."
I	II	The Earl of Gloucester's Castle	Gloucester	12	"Give me the letter, sir."
I	II	The Earl of Gloucester's Castle	Edmund	13	"I shall offend, either to detain or give it. The contents, as in part I understand them, are to blame."
I	II	The Earl of Gloucester's Castle	Gloucester	14	"Let's see, let's see!"
I	II	The Earl of Gloucester's Castle	Edmund	15	"I hope, for my brother's justification, he wrote this but as an essay or taste of my virtue."
I	II	The Earl of Gloucester's Castle	Gloucester	16	"(reads) 'This policy and reverence of age makes the world bitter to the best of our times; keeps our fortunes from us till our oldness cannot relish them. I begin to find an idle and fond bondage in the oppression of aged tyranny, who sways, not as it hath power, but as it is suffer'd. Come to me, that of this I may speak more. If our father would sleep till I wak'd him, you should enjoy half his revenue for ever, and live the beloved of your brother, 'EDGAR.' Hum! Conspiracy? 'Sleep till I wak'd him, you should enjoy half his revenue.' My son Edgar! Had he a hand to write this? a heart and brain to breed it in? When came this to you? Who brought it?"
I	II	The Earl of Gloucester's Castle	Edmund	17	"It was not brought me, my lord: there's the cunning of it. I found it thrown in at the casement of my closet."
I	II	The Earl of Gloucester's Castle	Gloucester	18	You know the character to be your brother's?
I	II	The Earl of Gloucester's Castle	Edmund	19	"If the matter were good, my lord, I durst swear it were his; but in respect of that, I would fain think it were not."
I	II	The Earl of Gloucester's Castle	Gloucester	20	It is his.
I	II	The Earl of Gloucester's Castle	Edmund	21	"It is his hand, my lord; but I hope his heart is not in the contents."
I	II	The Earl of Gloucester's Castle	Gloucester	22	Hath he never before sounded you in this business?
I	II	The Earl of Gloucester's Castle	Edmund	23	"Never, my lord. But I have heard him oft maintain it to be fit that, sons at perfect age, and fathers declining, the father should be as ward to the son, and the son manage his revenue."
I	II	The Earl of Gloucester's Castle	Gloucester	24	"O villain, villain! His very opinion in the letter! Abhorred villain! Unnatural, detested, brutish villain! worse than brutish! Go, sirrah, seek him. I'll apprehend him. Abominable villain! Where is he?"
I	II	The Earl of Gloucester's Castle	Edmund	25	"I do not well know, my lord. If it shall please you to suspend your indignation against my brother till you can derive from him better testimony of his intent, you should run a certain course; where, if you violently proceed against him, mistaking his purpose, it would make a great gap in your own honour and shake in pieces the heart of his obedience. I dare pawn down my life for him that he hath writ this to feel my affection to your honour, and to no other pretence of danger."
I	II	The Earl of Gloucester's Castle	Gloucester	26	Think you so?
I	II	The Earl of Gloucester's Castle	Edmund	27	"If your honour judge it meet, I will place you where you shall hear us confer of this and by an auricular assurance have your satisfaction, and that without any further delay than this very evening."
I	II	The Earl of Gloucester's Castle	Gloucester	28	He cannot be such a monster.
I	II	The Earl of Gloucester's Castle	Edmund	29	"Nor is not, sure."
I	II	The Earl of Gloucester's Castle	Gloucester	30	"To his father, that so tenderly and entirely loves him. Heaven and earth! Edmund, seek him out; wind me into him, I pray you; frame the business after your own wisdom. I would unstate myself to be in a due resolution."
I	II	The Earl of Gloucester's Castle	Edmund	31	"I will seek him, sir, presently; convey the business as I shall find means, and acquaint you withal."
I	II	The Earl of Gloucester's Castle	Gloucester	32	"These late eclipses in the sun and moon portend no good to us. Though the wisdom of nature can reason it thus and thus, yet nature finds itself scourg'd by the sequent effects. Love cools, friendship falls off, brothers divide. In cities, mutinies; in countries, discord; in palaces, treason; and the bond crack'd 'twixt son and father. This villain of mine comes under the prediction; there's son against father: the King falls from bias of nature; there's father against child. We have seen the best of our time. Machinations, hollowness, treachery, and all ruinous disorders follow us disquietly to our graves. Find out this villain, Edmund; it shall lose thee nothing; do it carefully. And the noble and true-hearted Kent banish'd! his offence, honesty! 'Tis strange."
I	II	The Earl of Gloucester's Castle	STAGE	33	Exit.
I	II	The Earl of Gloucester's Castle	Edmund	34	"This is the excellent foppery of the world, that, when we are sick in fortune, often the surfeit of our own behaviour, we make guilty of our disasters the sun, the moon, and the stars; as if we were villains on necessity; fools by heavenly compulsion; knaves, thieves, and treachers by spherical pre-dominance; drunkards, liars, and adulterers by an enforc'd obedience of planetary influence; and all that we are evil in, by a divine thrusting on. An admirable evasion of whore-master man, to lay his goatish disposition to the charge of a star! My father compounded with my mother under the Dragon's Tail, and my nativity was under Ursa Major, so that it follows I am rough and lecherous. Fut! I should have been that I am, had the maidenliest star in the firmament twinkled on my bastardizing. Edgar-"
I	II	The Earl of Gloucester's Castle	STAGE	35	Enter Edgar.
I	II	The Earl of Gloucester's Castle	Edmund	36	"and pat! he comes, like the catastrophe of the old comedy. My cue is villainous melancholy, with a sigh like Tom o' Bedlam. O, these eclipses do portend these divisions! Fa, sol, la, mi."
I	II	The Earl of Gloucester's Castle	Edgar	37	"How now, brother Edmund? What serious contemplation are you in?"
I	II	The Earl of Gloucester's Castle	Edmund	38	"I am thinking, brother, of a prediction I read this other day, what should follow these eclipses."
I	II	The Earl of Gloucester's Castle	Edgar	39	Do you busy yourself with that?
I	II	The Earl of Gloucester's Castle	Edmund	40	"I promise you, the effects he writes of succeed unhappily: as of unnaturalness between the child and the parent; death, dearth, dissolutions of ancient amities; divisions in state, menaces and maledictions against king and nobles; needless diffidences, banishment of friends, dissipation of cohorts, nuptial breaches, and I know not what."
I	II	The Earl of Gloucester's Castle	Edgar	41	How long have you been a sectary astronomical?
I	II	The Earl of Gloucester's Castle	Edmund	42	"Come, come! When saw you my father last?"
I	II	The Earl of Gloucester's Castle	Edgar	43	The night gone by.
I	II	The Earl of Gloucester's Castle	Edmund	44	Spake you with him?
I	II	The Earl of Gloucester's Castle	Edgar	45	"Ay, two hours together."
I	II	The Earl of Gloucester's Castle	Edmund	46	Parted you in good terms? Found you no displeasure in him by word or countenance?
I	II	The Earl of Gloucester's Castle	Edgar	47	None at all.
I	II	The Earl of Gloucester's Castle	Edmund	48	"Bethink yourself wherein you may have offended him; and at my entreaty forbear his presence until some little time hath qualified the heat of his displeasure, which at this instant so rageth in him that with the mischief of your person it would scarcely allay."
I	II	The Earl of Gloucester's Castle	Edgar	49	Some villain hath done me wrong.
I	II	The Earl of Gloucester's Castle	Edmund	50	"That's my fear. I pray you have a continent forbearance till the speed of his rage goes slower; and, as I say, retire with me to my lodging, from whence I will fitly bring you to hear my lord speak. Pray ye, go! There's my key. If you do stir abroad, go arm'd."
I	II	The Earl of Gloucester's Castle	Edgar	51	"Arm'd, brother?"
I	II	The Earl of Gloucester's Castle	Edmund	52	"Brother, I advise you to the best. Go arm'd. I am no honest man if there be any good meaning toward you. I have told you what I have seen and heard; but faintly, nothing like the image and horror of it. Pray you, away!"
I	II	The Earl of Gloucester's Castle	Edgar	53	Shall I hear from you anon?
I	II	The Earl of Gloucester's Castle	Edmund	54	I do serve you in this business.
I	II	The Earl of Gloucester's Castle	STAGE	55	Exit Edgar.
I	II	The Earl of Gloucester's Castle	Edmund	56	"A credulous father! and a brother noble, Whose nature is so far from doing harms That he suspects none; on whose foolish honesty My practices ride easy! I see the business. Let me, if not by birth, have lands by wit; All with me's meet that I can fashion fit."
I	II	The Earl of Gloucester's Castle	STAGE	57	Exit.
I	III	The Duke of Albany's Palace	STAGE	1	Enter Goneril and [her] Steward [Oswald].
I	III	The Duke of Albany's Palace	Goneril	2	Did my father strike my gentleman for chiding of his fool?
I	III	The Duke of Albany's Palace	Oswald	3	"Ay, madam."
I	III	The Duke of Albany's Palace	Goneril	4	"By day and night, he wrongs me! Every hour He flashes into one gross crime or other That sets us all at odds. I'll not endure it. His knights grow riotous, and himself upbraids us On every trifle. When he returns from hunting, I will not speak with him. Say I am sick. If you come slack of former services, You shall do well; the fault of it I'll answer."
I	III	The Duke of Albany's Palace	STAGE	5	[Horns within.]
I	III	The Duke of Albany's Palace	Oswald	6	"He's coming, madam; I hear him."
I	III	The Duke of Albany's Palace	Goneril	7	"Put on what weary negligence you please, You and your fellows. I'd have it come to question. If he distaste it, let him to our sister, Whose mind and mine I know in that are one, Not to be overrul'd. Idle old man, That still would manage those authorities That he hath given away! Now, by my life, Old fools are babes again, and must be us'd With checks as flatteries, when they are seen abus'd. Remember what I have said."
I	III	The Duke of Albany's Palace	Oswald	8	"Very well, madam."
I	III	The Duke of Albany's Palace	Goneril	9	"And let his knights have colder looks among you. What grows of it, no matter. Advise your fellows so. I would breed from hence occasions, and I shall, That I may speak. I'll write straight to my sister To hold my very course. Prepare for dinner."
I	III	The Duke of Albany's Palace	STAGE	10	Exeunt.
I	IV	The Duke of Albany's Palace	STAGE	1	"Enter Kent, [disguised]."
I	IV	The Duke of Albany's Palace	Kent	2	"If but as well I other accents borrow, That can my speech defuse, my good intent May carry through itself to that full issue For which I raz'd my likeness. Now, banish'd Kent, If thou canst serve where thou dost stand condemn'd, So may it come, thy master, whom thou lov'st, Shall find thee full of labours."
I	IV	The Duke of Albany's Palace	STAGE	3	"Horns within. Enter Lear, [Knights,] and Attendants."
I	IV	The Duke of Albany's Palace	Lear	4	Let me not stay a jot for dinner; go get it ready. [Exit an Attendant.] How now? What art thou?
I	IV	The Duke of Albany's Palace	Kent	5	"A man, sir."
I	IV	The Duke of Albany's Palace	Lear	6	What dost thou profess? What wouldst thou with us?
I	IV	The Duke of Albany's Palace	Kent	7	"I do profess to be no less than I seem, to serve him truly that will put me in trust, to love him that is honest, to converse with him that is wise and says little, to fear judgment, to fight when I cannot choose, and to eat no fish."
I	IV	The Duke of Albany's Palace	Lear	8	What art thou?
I	IV	The Duke of Albany's Palace	Kent	9	"A very honest-hearted fellow, and as poor as the King."
I	IV	The Duke of Albany's Palace	Lear	10	"If thou be'st as poor for a subject as he's for a king, thou art poor enough. What wouldst thou?"
I	IV	The Duke of Albany's Palace	Kent	11	Service.
I	IV	The Duke of Albany's Palace	Lear	12	Who wouldst thou serve?
I	IV	The Duke of Albany's Palace	Kent	13	You.
I	IV	The Duke of Albany's Palace	Lear	14	"Dost thou know me, fellow?"
I	IV	The Duke of Albany's Palace	Kent	15	"No, sir; but you have that in your countenance which I would fain call master."
I	IV	The Duke of Albany's Palace	Lear	16	What's that?
I	IV	The Duke of Albany's Palace	Kent	17	Authority.
I	IV	The Duke of Albany's Palace	Lear	18	What services canst thou do?
I	IV	The Duke of Albany's Palace	Kent	19	"I can keep honest counsel, ride, run, mar a curious tale in telling it and deliver a plain message bluntly. That which ordinary men are fit for, I am qualified in, and the best of me is diligence."
I	IV	The Duke of Albany's Palace	Lear	20	How old art thou?
I	IV	The Duke of Albany's Palace	Kent	21	"Not so young, sir, to love a woman for singing, nor so old to dote on her for anything. I have years on my back forty-eight."
I	IV	The Duke of Albany's Palace	Lear	22	"Follow me; thou shalt serve me. If I like thee no worse after dinner, I will not part from thee yet. Dinner, ho, dinner! Where's my knave? my fool? Go you and call my fool hither."
I	IV	The Duke of Albany's Palace	STAGE	23	[Exit an attendant.]
I	IV	The Duke of Albany's Palace	STAGE	24	Enter [Oswald the] Steward.
I	IV	The Duke of Albany's Palace	Lear	25	"You, you, sirrah, where's my daughter?"
I	IV	The Duke of Albany's Palace	Oswald	26	So please you- Exit.
I	IV	The Duke of Albany's Palace	Lear	27	"What says the fellow there? Call the clotpoll back. [Exit a Knight.] Where's my fool, ho? I think the world's asleep."
I	IV	The Duke of Albany's Palace	STAGE	28	[Enter Knight]
I	IV	The Duke of Albany's Palace	Lear	29	How now? Where's that mongrel?
I	IV	The Duke of Albany's Palace	Knight	30	"He says, my lord, your daughter is not well."
I	IV	The Duke of Albany's Palace	Lear	31	Why came not the slave back to me when I call'd him?
I	IV	The Duke of Albany's Palace	Knight	32	"Sir, he answered me in the roundest manner, he would not."
I	IV	The Duke of Albany's Palace	Lear	33	He would not?
I	IV	The Duke of Albany's Palace	Knight	34	"My lord, I know not what the matter is; but to my judgment your Highness is not entertain'd with that ceremonious affection as you were wont. There's a great abatement of kindness appears as well in the general dependants as in the Duke himself also and your daughter."
I	IV	The Duke of Albany's Palace	Lear	35	Ha! say'st thou so?
I	IV	The Duke of Albany's Palace	Knight	36	"I beseech you pardon me, my lord, if I be mistaken; for my duty cannot be silent when I think your Highness wrong'd."
I	IV	The Duke of Albany's Palace	Lear	37	"Thou but rememb'rest me of mine own conception. I have perceived a most faint neglect of late, which I have rather blamed as mine own jealous curiosity than as a very pretence and purpose of unkindness. I will look further into't. But where's my fool? I have not seen him this two days."
I	IV	The Duke of Albany's Palace	Knight	38	"Since my young lady's going into France, sir, the fool hath much pined away."
